column_name,ADMIN,STANDARD
name,READ,READ
submitted_name,WRITE,READ
homepage_url,WRITE,READ
jurisdiction_type,WRITE,READ
state_iso,READ,READ
county_fips,READ,READ
county_name,READ,READ
lat,WRITE,READ
lng,WRITE,READ
defunct_year,WRITE,READ
agency_type,WRITE,READ
multi_agency,WRITE,READ
zip_code,WRITE,READ
no_web_presence,WRITE,READ
airtable_agency_last_modified,READ,READ
approved,WRITE,READ
rejection_reason,WRITE,READ
last_approval_editor,WRITE,READ
submitter_contact,WRITE,READ
agency_created,READ,READ
county_airtable_uid,READ,READ
municipality,READ,READ
location_id,WRITE,READ
id,READ,READ
airtable_uid,NONE,NONE
